requete,ordre,rappel,precision
4,41,0.25,0.07317073170731708
4,42,0.25,0.07142857142857142
4,43,0.25,0.06976744186046512
4,44,0.25,0.06818181818181818
4,45,0.25,0.06666666666666667
4,46,0.25,0.06521739130434782
4,47,0.25,0.06382978723404255
4,48,0.25,0.0625
4,49,0.25,0.061224489795918366
4,50,0.25,0.06
4,51,0.25,0.058823529411764705
4,52,0.25,0.057692307692307696
4,53,0.25,0.05660377358490566
4,54,0.25,0.05555555555555555
4,55,0.25,0.05454545454545454
4,56,0.25,0.05357142857142857
4,57,0.25,0.05263157894736842
4,58,0.25,0.05172413793103448
4,59,0.25,0.05084745762711865
4,60,0.25,0.05
4,61,0.3333333333333333,0.06557377049180328
4,62,0.3333333333333333,0.06451612903225806
4,63,0.3333333333333333,0.06349206349206349
4,64,0.3333333333333333,0.0625
4,65,0.3333333333333333,0.06153846153846154
4,66,0.3333333333333333,0.06060606060606061
4,67,0.3333333333333333,0.05970149253731343
4,68,0.3333333333333333,0.058823529411764705
4,69,0.3333333333333333,0.057971014492753624
4,70,0.3333333333333333,0.05714285714285714
4,71,0.3333333333333333,0.056338028169014086
4,72,0.3333333333333333,0.05555555555555555
4,73,0.3333333333333333,0.0547945205479452
4,74,0.3333333333333333,0.05405405405405406
4,75,0.3333333333333333,0.05333333333333334
4,76,0.3333333333333333,0.05263157894736842
4,77,0.3333333333333333,0.05194805194805195
4,78,0.3333333333333333,0.05128205128205128
4,79,0.3333333333333333,0.05063291139240506
4,80,0.3333333333333333,0.05
4,81,0.3333333333333333,0.04938271604938271
4,82,0.3333333333333333,0.04878048780487805
4,83,0.3333333333333333,0.04819277108433735
4,84,0.3333333333333333,0.047619047619047616
4,85,0.3333333333333333,0.047058823529411764
4,86,0.3333333333333333,0.046511627906976744
4,87,0.3333333333333333,0.04597701149425287
4,88,0.3333333333333333,0.045454545454545456
4,89,0.3333333333333333,0.0449438202247191
4,90,0.3333333333333333,0.044444444444444446
4,91,0.3333333333333333,0.04395604395604396
4,92,0.3333333333333333,0.043478260869565216
4,93,0.41666666666666663,0.05376344086021506
4,94,0.41666666666666663,0.05319148936170213
4,95,0.41666666666666663,0.05263157894736842
4,96,0.41666666666666663,0.05208333333333333
4,97,0.41666666666666663,0.05154639175257732
4,98,0.41666666666666663,0.0510204081632653
4,99,0.41666666666666663,0.05050505050505051
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
